id       A1    A2    A3    
P163     75       69       100      
P164     66       59       21       
P165     93       8        83       
P166     84       18       41       
P167     92       22       57       
P168     1        95       10       
P169     39       3        19       
P170     63       27       17       
P171     39       19       61       
P172     80       62       53       
P173     40       95       59       
P174     49       32       95       
P175     29       42       10       
P176     5        12       97       
P177     78       60       27       
P178     41       10       53       
P179     65       38       85       
P180     33       38       50       
P181     51       10       83       
P182     31       69       99       
P183     34       28       53       
P184     66       33       59       
P185     23       55       22       
P186     40       23       19       
P187     36       28       54       
P188     42       5        49       
P189     68       19       99       
P190     23       89       91       
P191     42       100      29       
P192     86       23       28       
P193     3        10       27       
P194     18       9        72       
P195     44       8        97       
P196     61       33       67       
P197     43       86       54       
P198     11       74       36       
P199     30       15       15       
P200     83       48       100      
P201     14       70       10       
P202     40       88       32       
P203     60       94       10       
P204     99       82       1        
P205     87       23       89       
P206     22       97       65       
P207     91       35       58       
P208     65       3        97       
P209     79       33       43       
P210     75       14       65       
P211     22       41       76       
P212     9        50       48       
P213     5        18       70       
P214     57       88       77       
P215     2        3        56       
P216     97       15       39       
P217     33       60       91       
P218     7        74       26       
P219     67       39       63       
P220     38       15       92       
P221     90       97       55       
P222     54       34       100      
P223     98       2        72       
P224     6        53       45       
P225     40       77       19       
P226     12       84       27       
P227     72       77       16       
P228     61       41       3        
P229     12       35       81       
P230     39       15       69       
P231     46       27       86       
P232     27       84       83       
P233     62       32       3        
P234     2        68       90       
P235     52       67       61       
P236     74       21       6        
P237     66       57       66       
P238     66       58       45       
P239     17       64       11       
P240     53       99       82       
P241     11       21       84       
P242     23       63       82       
P243     92       77       55       
P244     89       48       17       
P245     57       20       89       
P246     61       37       28       
P247     25       19       26       
P248     12       10       17       
P249     63       39       100      
P250     18       20       68       
P251     19       29       48       
P252     31       98       70       
P253     56       24       21       
P254     6        9        33       
P255     37       7        76       
P256     89       10       1        
P257     43       16       42       
P258     31       69       50       
P259     80       39       47       
P260     27       44       25       
P261     38       88       6        
P262     15       92       38       
P263     99       14       94       
P264     71       29       48       
P265     100      6        82       
P266     19       97       69       
P267     72       30       23       
P268     86       40       51       
P269     83       27       64       
P270     54       74       26       
P271     84       72       67       
P272     33       31       48       
P273     80       83       40       
P274     19       13       77       
P275     33       30       28       
P276     52       72       55       
P277     47       72       66       
P278     84       29       32       
P279     59       59       63       
P280     29       25       59       
P281     76       51       33       
P282     92       39       35       
P283     68       8        13       
P284     88       67       22       
P285     27       64       97       
P286     24       17       18       
P287     50       24       91       
P288     26       2        67       
P289     69       76       16       
P290     11       98       23       
P291     41       31       77       
P292     11       17       69       
P293     27       74       27       
P294     100      49       56       
P295     70       7        19       
P296     73       37       3        
P297     23       28       61       
P298     53       72       7        
P299     62       4        22       
P300     94       14       30       
P301     91       84       18       
P302     77       93       53       
P303     27       42       6        
P304     78       29       10       
P305     69       68       16       
P306     58       51       52       
P307     100      61       90       
P308     67       55       36       
P309     67       38       67       
P310     37       26       1        
P311     90       37       19       
P312     98       92       89       
P313     12       21       47       
P314     40       69       62       
P315     46       16       66       
P316     35       18       22       
P317     79       21       31       
P318     43       82       6        
P319     22       2        99       
P320     5        88       72       
P321     8        89       18       
P322     43       97       3        
P323     37       35       78       
P324     24       82       47       
P325     92       44       38       
P326     45       6        58       
P327     27       48       72       
P328     32       38       18       
P329     63       37       25       
P330     2        69       78       
P331     87       44       60       
P332     19       4        90       
P333     62       1        7        
P334     3        11       69       
P335     26       66       30       
P336     70       64       89       
P337     35       20       31       
P338     35       26       41       
P339     29       81       34       
P340     93       69       33       
P341     80       55       58       
P342     93       51       26       
P343     35       15       77       
P344     34       55       38       
P345     35       93       10       
P346     6        92       30       
P347     17       72       36       
P348     89       14       5        
P349     4        87       95       
P350     48       25       18       
P351     13       79       5        
P352     10       26       75       
P353     15       55       64       
P354     93       59       27       
P355     33       74       87       
P356     67       15       22       
P357     81       98       61       
P358     14       88       34       
P359     21       35       55       
P360     32       42       79       
P361     13       86       17       
P362     67       75       64       
P363     15       98       53       
P364     29       49       62       
P365     56       68       93       
P366     21       85       3        
P367     31       27       17       
P368     91       24       59       
P369     81       10       87       
P370     28       62       90       
P371     84       31       18       
P372     35       45       74       
P373     67       65       25       
P374     75       57       100      
P375     40       31       6        
P376     73       95       90       
P377     82       86       81       
P378     9        26       69       
P379     94       92       73       
P380     9        72       22       
P381     30       47       50       
P382     46       45       57       
P383     38       24       73       
P384     77       11       37       
P385     75       21       9        
P386     19       64       26       
P387     66       57       26       
P388     31       29       4        
P389     53       32       86       
P390     68       70       84       
P391     12       42       82       
P392     49       7        86       
P393     88       87       95       
P394     88       52       88       
P395     79       11       19       
P396     51       30       20       
P397     36       67       47       
P398     94       46       51       
P399     19       95       57       
P400     36       41       43       
P401     15       75       16       
P402     11       11       33       
P403     49       34       40       
P404     49       84       47       
P405     76       34       59       
P406     79       17       39       
P407     61       51       90       
P408     23       58       34       
P409     60       89       88       
P410     63       15       37       
P411     7        97       44       
P412     69       43       22       
P413     88       87       34       
P414     34       22       72       
P415     9        25       50       
P416     31       43       69       
P417     86       40       5        
P418     87       79       96       
P419     98       23       49       
P420     85       51       51       
P421     18       2        52       
P422     82       20       58       
P423     17       51       74       
P424     83       47       70       
P425     48       91       35       
P426     53       86       66       
P427     85       95       20       
P428     50       43       10       
P429     35       76       57       
P430     91       66       52       
P431     81       52       72       
P432     17       63       94       
P433     89       90       67       
P434     53       36       69       
P435     76       30       24       
P436     19       1        60       
P437     95       25       39       
P438     90       88       38       
P439     90       13       77       
P440     17       13       97       
P441     37       57       100      
P442     82       85       97       
P443     65       22       70       
P444     54       16       66       
P445     63       1        92       
P446     42       28       75       
P447     27       78       74       
P448     42       42       75       
P449     11       83       22       
P450     7        38       89       
P451     47       81       12       
P452     9        14       41       
P453     78       33       82       
P454     80       15       58       
P455     44       43       2        
P456     3        1        55       
P457     78       7        58       
P458     30       30       59       
P459     38       5        75       
P460     66       75       33       
P461     61       1        98       
P462     23       21       67       
P463     15       80       6        
P464     70       30       14       
P465     56       5        91       
P466     91       34       23       
P467     41       96       76       
P468     32       89       41       
P469     40       66       51       
P470     32       90       22       
P471     65       43       55       
P472     41       68       19       
P473     2        4        53       
P474     67       74       56       
P475     29       31       57       
P476     7        90       44       
P477     59       92       25       
P478     73       44       81       
P479     4        22       35       
P480     20       92       84       
P481     86       75       37       
P482     56       87       25       
P483     75       82       2        
P484     23       26       80       
P485     6        8        10       
P486     67       30       89       
P487     36       30       36       
P488     8        60       46       
P489     28       95       39       
P490     27       96       65       
P491     83       53       49       
P492     62       70       65       
P493     58       41       28       
P494     27       52       52       
P495     89       5        49       
P496     20       46       75       
P497     35       34       93       
P498     95       37       5        
P499     56       91       54       
P500     73       87       89       
P501     6        37       34       
P502     99       41       78       
P503     73       94       91       
P504     89       7        97       
P505     98       32       94       
P506     47       51       84       
P507     69       33       88       
P508     74       34       37       
P509     83       48       23       
P510     48       5        51       
P511     47       27       66       
P512     60       69       23       
P513     72       40       40       
P514     22       43       53       
P515     48       2        27       
P516     22       30       53       
P517     9        6        15       
P518     3        77       22       
P519     10       24       66       
P520     66       58       54       
P521     28       2        15       
P522     71       71       62       
P523     90       3        44       
P524     55       85       2        
P525     61       81       30       
P526     33       82       66       
P527     48       96       87       
P528     61       99       36       
P529     78       37       65       
P530     78       97       69       
P531     81       44       37       
P532     65       64       82       
P533     42       19       75       
P534     49       47       47       
P535     44       42       98       
P536     60       46       43       
P537     33       21       64       
P538     72       16       21       
P539     31       87       59       
P540     96       67       9        
P541     81       90       19       
P542     13       91       81       
P543     65       20       86       
P544     86       54       60       
P545     95       17       47       
P546     85       2        76       
P547     8        6        35       
P548     87       43       60       
P549     65       13       45       
P550     83       60       42       
P551     57       45       21       
P552     65       86       91       
P553     98       73       46       
P554     56       44       17       
P555     25       12       34       
P556     88       24       56       
P557     48       23       4        
P558     88       84       2        
P559     7        41       29       
P560     55       30       29       
P561     49       79       34       
P562     52       70       93       
P563     96       62       21       
P564     29       47       55       
P565     24       82       76       
P566     54       15       77       
P567     18       7        28       
P568     14       6        3        
P569     67       61       30       
P570     31       57       1        
P571     37       34       55       
P572     24       70       52       
P573     79       32       50       
P574     100      94       74       
P575     17       16       69       
P576     54       45       68       
P577     90       87       30       
P578     9        79       73       
P579     29       69       14       
P580     69       44       25       
P581     24       36       96       
P582     87       72       16       
P583     85       21       9        
P584     21       44       70       
P585     44       56       39       
P586     20       59       10       
P587     66       92       42       
P588     95       26       79       
P589     29       36       46       
P590     65       36       28       
P591     95       56       19       
P592     29       5        18       
P593     53       4        16       
P594     56       7        31       
P595     21       33       71       
P596     1        65       63       
P597     16       92       24       
P598     69       77       48       
P599     40       68       25       
P600     35       89       76       
P601     69       17       57       
P602     60       61       18       
P603     61       45       23       
P604     3        62       53       
P605     2        20       6        
P606     48       43       3        
P607     76       52       65       
P608     85       95       95       
P609     26       14       63       
P610     50       67       34       
P611     14       84       1        
P612     45       97       4        
P613     23       76       91       
P614     35       60       2        
P615     72       100      53       
P616     86       83       7        
P617     36       30       39       
P618     93       12       53       
P619     27       46       61       
P620     42       32       87       
P621     65       53       60       
P622     74       52       59       
P623     88       89       65       
P624     95       73       44       
P625     69       100      60       
P626     60       13       38       
P627     56       54       90       
P628     49       58       19       
P629     33       96       27       
P630     62       42       99       
P631     38       7        60       
P632     4        4        59       
P633     10       12       84       
P634     39       42       98       
P635     69       53       75       
P636     57       72       38       
P637     26       68       53       
P638     85       81       32       
P639     5        1        67       
P640     69       80       99       
P641     89       53       33       
P642     47       18       38       
P643     82       14       31       
P644     39       43       29       
P645     34       79       48       
P646     52       40       18       
P647     55       10       99       
P648     32       9        32       
P649     81       80       61       
P650     61       39       58       
P651     10       98       22       
P652     81       97       39       
P653     31       29       34       
P654     67       79       52       
P655     57       52       58       
P656     25       46       27       
P657     6        82       98       
P658     15       64       38       
P659     49       88       42       
P660     16       25       76       
P661     16       70       57       
P662     58       13       39       
P663     95       11       42       
P664     15       28       10       
P665     62       88       28       
P666     71       90       39       
P667     47       13       83       
P668     13       28       70       
P669     66       90       97       
P670     4        32       12       
P671     29       53       47       
P672     4        16       47       
P673     94       77       14       
P674     78       44       62       
P675     15       43       65       
P676     14       6        63       
P677     29       83       6        
P678     26       29       4        
P679     53       14       73       
P680     92       77       72       
P681     36       85       41       
P682     25       55       53       
P683     97       49       45       
P684     85       38       69       
P685     81       96       88       
P686     71       74       7        
P687     82       84       59       
P688     43       92       18       
P689     46       11       49       
P690     96       72       8        
P691     53       64       48       
P692     99       54       76       
P693     93       10       10       
P694     48       78       11       
P695     71       27       31       
P696     66       47       36       
P697     2        26       13       
P698     42       65       76       
P699     29       25       20       
P700     45       9        56       
P701     56       77       60       
P702     60       45       68       
P703     23       81       57       
P704     89       12       72       
P705     57       54       98       
P706     29       49       56       
P707     12       68       61       
P708     56       81       88       
P709     99       78       45       
P710     16       9        2        
P711     96       58       12       
P712     89       11       60       
P713     43       66       88       
P714     45       61       63       
P715     22       98       6        
P716     50       70       71       
P717     21       38       26       
P718     54       15       63       
P719     40       67       76       
P720     81       24       5        
P721     99       86       22       
P722     41       28       18       
P723     54       41       91       
P724     57       38       76       
P725     32       72       70       
P726     60       57       72       
P727     43       37       3        
P728     28       22       30       
P729     53       2        10       
P730     70       53       73       
P731     77       2        85       
P732     10       59       54       
P733     38       2        60       
P734     69       83       52       
P735     12       69       52       
P736     64       38       16       
P737     94       19       62       
P738     94       64       74       
P739     88       44       77       
P740     90       77       71       
P741     17       98       57       
P742     26       87       18       
P743     100      44       35       
P744     55       55       34       
P745     76       95       10       
P746     1        69       51       
P747     95       17       70       
P748     32       94       31       
P749     48       3        24       
P750     41       73       37       
P751     71       99       57       
P752     84       32       17       
P753     80       8        24       
P754     64       82       50       
P755     29       83       27       
P756     19       61       96       
P757     24       68       41       
P758     95       35       38       
P759     59       59       54       
P760     5        6        19       
P761     87       99       51       
P762     45       8        27       
P763     18       47       14       
P764     95       87       2        
P765     81       47       91       
P766     12       50       7        
P767     19       65       25       
P768     61       63       43       
P769     82       21       9        
P770     7        38       6        
P771     97       56       84       
P772     11       94       11       
P773     15       42       18       
P774     48       60       8        
P775     10       33       92       
P776     50       61       21       
P777     46       8        18       
P778     37       47       13       
P779     83       99       48       
P780     78       97       43       
P781     78       100      66       
P782     7        69       73       
P783     38       90       70       
P784     91       21       73       
P785     62       41       20       
P786     82       16       87       
P787     98       31       20       
P788     1        94       36       
P789     31       15       83       
P790     73       47       96       
P791     98       78       3        
P792     13       41       28       
P793     80       6        25       
P794     93       79       76       
P795     95       17       100      
P796     98       25       53       
P797     28       85       68       
P798     96       54       38       
P799     73       57       56       
P800     80       52       15       
P801     92       72       80       
P802     97       3        70       
P803     26       11       63       
P804     53       62       97       
P805     1        34       48       
P806     3        46       97       
P807     21       86       57       
P808     22       41       90       
P809     78       20       77       
P810     57       63       21       
P811     9        11       12       
P812     85       72       76       
P813     82       3        21       
P814     48       44       54       
P815     50       50       54       
P816     26       48       49       
P817     71       69       33       
P818     20       83       57       
P819     38       92       35       
P820     78       37       15       
P821     91       52       16       
P822     40       97       35       
P823     61       66       59       
P824     48       73       20       
P825     1        74       20       
P826     35       98       78       
P827     78       3        69       
P828     91       88       95       
P829     37       49       14       
P830     34       8        93       
P831     42       77       25       
P832     94       55       47       
P833     45       31       23       
P834     36       11       57       
P835     51       94       77       
P836     45       12       14       
P837     50       31       35       
P838     27       7        21       
P839     82       41       47       
P840     7        11       8        
P841     39       76       74       
P842     73       68       55       
P843     19       70       94       
P844     68       10       58       
P845     49       74       51       
P846     5        31       61       
P847     14       100      10       
P848     37       43       78       
P849     54       59       68       
P850     60       50       16       
P851     83       79       34       
P852     31       87       43       
P853     97       55       36       
P854     11       86       31       
P855     67       16       46       
P856     83       68       99       
P857     69       52       7        
P858     32       65       43       
P859     54       53       80       
P860     12       93       20       
P861     50       50       63       
P862     61       63       43       
P863     89       20       51       
P864     81       41       36       
P865     79       87       69       
P866     45       6        83       
P867     56       55       10       
P868     86       98       72       
P869     72       3        91       
P870     67       50       48       
P871     9        63       86       
P872     26       71       100      
P873     89       19       82       
P874     48       79       7        
P875     40       19       47       
P876     45       32       61       
P877     19       80       37       
P878     26       13       74       
P879     83       52       58       
P880     20       4        12       
P881     24       92       68       
P882     31       7        68       
P883     3        59       64       
P884     28       40       7        
P885     44       60       27       
P886     83       65       3        
P887     1        9        24       
P888     84       28       42       
P889     100      40       34       
P890     46       48       89       
P891     19       40       94       
P892     7        15       72       
P893     40       76       14       
P894     78       91       41       
P895     78       92       31       
P896     67       15       12       
P897     88       12       87       
P898     97       87       49       
P899     93       57       54       
P900     41       12       36       
P901     57       64       72       
P902     19       100      73       
P903     49       92       34       
P904     18       85       73       
P905     40       14       53       
P906     36       84       54       
P907     68       35       66       
P908     41       66       69       
P909     100      65       19       
P910     85       43       64       
P911     64       14       77       
P912     83       61       25       
P913     10       15       26       
P914     48       80       93       
P915     28       64       54       
P916     80       27       74       
P917     38       67       53       
P918     58       50       92       
P919     54       28       12       
P920     81       24       44       
P921     11       70       2        
P922     22       62       52       
P923     88       55       49       
P924     100      2        47       
P925     19       3        83       
P926     88       97       67       
P927     98       75       17       
P928     55       11       35       
P929     36       77       48       
P930     47       87       41       
P931     22       85       34       
P932     2        95       70       
P933     6        17       39       
P934     24       23       1        
P935     98       63       26       
P936     27       89       47       
P937     25       37       81       
P938     15       7        6        
P939     2        28       47       
P940     43       3        38       
P941     32       89       98       
P942     25       12       52       
P943     6        6        25       
P944     91       24       32       
P945     61       33       9        
P946     29       14       4        
P947     19       47       46       
P948     60       89       86       
P949     57       12       10       
P950     51       65       46       
P951     3        72       48       
P952     49       55       74       
P953     13       49       43       
P954     64       96       94       
P955     27       15       40       
P956     45       100      85       
P957     42       27       21       
P958     47       64       96       
P959     81       75       33       
P960     33       83       23       
P961     29       47       48       
P962     22       26       73       
P963     7        1        97       
P964     84       3        94       
P965     78       74       66       
P966     65       70       44       
P967     21       62       27       
P968     81       75       79       
P969     91       52       81       
P970     38       95       93       
P971     60       81       51       
P972     41       11       80       
P973     47       57       64       
P974     19       16       30       
P975     36       36       88       
P976     94       87       94       
P977     92       66       26       
P978     17       49       8        
P979     9        11       71       
P980     68       65       9        
P981     62       64       66       
P982     19       95       9        
P983     67       69       54       
P984     24       79       27       
P985     70       78       80       
P986     39       34       12       
P987     51       3        99       
P988     80       14       45       
P989     87       65       90       
P990     28       4        29       
P991     46       26       75       
P992     90       25       31       
P993     17       5        1        
P994     74       83       36       
P995     88       45       95       
P996     80       47       95       
P997     35       19       98       
P998     50       41       5        
P999     14       12       81       
P1000    44       55       72       
P1001    82       34       3        
P1002    98       21       50       
P1003    77       23       81       
P1004    16       71       58       
P1005    40       67       46       
P1006    5        71       65       
P1007    51       80       47       
P1008    66       72       81       
P1009    64       85       37       
P1010    88       20       97       
P1011    36       85       85       
P1012    55       48       16       
P1013    33       62       46       
P1014    1        63       8        
P1015    23       62       95       
P1016    51       31       67       
P1017    94       92       14       
P1018    73       83       63       
P1019    16       95       50       
P1020    41       35       33       
P1021    24       19       65       
P1022    22       25       9        
P1023    77       85       22       
P1024    16       39       96       
P1025    55       97       92       
P1026    26       48       42       
P1027    73       12       20       
P1028    38       47       11       
P1029    87       48       15       
P1030    80       61       85       
P1031    32       8        84       
P1032    96       14       55       
P1033    67       8        83       
P1034    73       1        57       
P1035    49       41       53       
P1036    51       55       98       
P1037    68       5        9        
P1038    38       37       74       
P1039    51       33       46       
P1040    46       89       40       
P1041    100      95       89       
P1042    45       56       95       
P1043    86       56       37       
P1044    22       81       39       
P1045    6        50       96       
P1046    78       25       15       
P1047    86       29       38       
P1048    72       58       11       
P1049    50       76       16       
P1050    21       69       33       
P1051    54       88       42       
P1052    29       5        52       
P1053    18       67       82       
P1054    70       100      82       
P1055    96       40       68       
P1056    85       68       8        
P1057    39       81       52       
P1058    80       75       55       
P1059    38       50       85       
P1060    69       84       1        
P1061    43       6        82       
P1062    18       49       19       
P1063    60       8        7        
P1064    74       14       11       
P1065    96       89       30       
P1066    56       71       19       
P1067    96       88       7        
P1068    7        50       34       
P1069    63       58       35       
P1070    59       75       8        
P1071    46       61       57       
P1072    38       72       4        
P1073    64       16       78       
P1074    13       53       46       
P1075    42       65       30       
P1076    57       81       38       
P1077    100      12       85       
P1078    45       38       12       
P1079    61       20       5        
P1080    77       14       14       
P1081    1        42       99       
P1082    90       10       8        
P1083    69       85       22       
P1084    28       96       25       
P1085    20       60       13       
P1086    35       68       73       
P1087    36       91       6        
P1088    39       83       23       
P1089    62       93       34       
P1090    22       49       39       
P1091    99       40       65       
P1092    70       78       56       
P1093    23       55       57       
P1094    65       53       44       
P1095    85       82       92       
P1096    76       84       25       
P1097    100      34       76       
P1098    23       91       10       
P1099    34       66       12       
P1100    20       16       75       
P1101    68       6        77       
P1102    35       76       72       
P1103    3        66       7        
P1104    7        36       4        
P1105    92       59       41       
P1106    77       83       86       
P1107    35       3        56       
P1108    99       48       9        
P1109    80       8        2        
P1110    86       84       85       
P1111    96       37       70       
P1112    100      34       41       
P1113    19       85       62       
P1114    82       67       99       
P1115    73       23       83       
P1116    18       89       29       
P1117    36       46       50       
P1118    41       21       21       
P1119    48       6        47       
P1120    28       2        52       
P1121    83       86       21       
P1122    37       66       39       
P1123    56       13       72       
P1124    61       28       45       
P1125    58       85       45       
P1126    40       97       88       
P1127    80       39       29       
P1128    48       21       59       
P1129    28       11       40       
P1130    18       100      4        
P1131    67       14       67       
P1132    38       87       66       
P1133    60       9        12       
P1134    79       73       54       
P1135    44       66       1        
P1136    75       12       49       
P1137    44       81       10       
P1138    39       94       24       
P1139    7        74       35       
P1140    93       100      44       
P1141    70       62       13       
P1142    78       82       66       
P1143    6        86       62       
P1144    39       62       51       
P1145    76       58       42       
P1146    79       31       43       
P1147    14       53       39       
P1148    54       47       40       
P1149    84       17       53       
P1150    65       40       76       
P1151    85       1        82       
P1152    39       44       19       
P1153    70       76       26       
P1154    25       49       5        
P1155    41       81       3        
P1156    57       91       41       
P1157    53       55       51       
P1158    88       62       78       
P1159    72       71       38       
P1160    69       27       88       
P1161    66       55       46       
P1162    77       63       3        
P1163    11       73       88       
P1164    60       56       9        
P1165    24       59       14       
P1166    18       8        38       
P1167    65       31       51       
P1168    48       2        74       
P1169    89       58       8        
P1170    8        33       91       
P1171    69       59       36       
P1172    23       76       87       
P1173    34       95       43       
P1174    44       1        12       
P1175    71       56       56       
P1176    57       54       97       
P1177    1        17       10       
P1178    58       76       54       
P1179    24       39       48       
P1180    37       95       2        
P1181    85       10       98       
P1182    86       100      27       
P1183    22       40       34       
P1184    84       60       69       
P1185    63       55       36       
P1186    27       76       83       
P1187    54       41       61       
P1188    55       10       38       
P1189    61       69       21       
P1190    28       3        8        
P1191    34       46       65       
P1192    27       39       25       
P1193    52       63       52       
P1194    87       96       37       
P1195    26       42       8        
P1196    10       54       33       
P1197    54       73       17       
P1198    4        55       75       
P1199    99       74       61       
P1200    93       5        75       
P1201    70       41       28       
P1202    36       22       14       
P1203    12       25       74       
P1204    36       98       85       
P1205    39       49       9        
P1206    37       51       75       
P1207    32       87       18       
P1208    66       97       1        
P1209    85       41       11       
P1210    11       4        45       
P1211    39       26       49       
P1212    39       1        67       
P1213    47       31       21       
P1214    92       33       1        
P1215    60       54       56       
P1216    32       72       45       
